Time,Channel A
(ms),(mV)

0.00000000,-29.78900000
0.00004800,-72.35789000
0.00009600,-42.56889000
0.00014400,-51.07345000
0.00019200,-46.82886000
0.00024000,-34.04897000
0.00028800,-51.07345000
0.00033600,-46.82886000
0.00038400,-51.07345000
0.00043200,-51.07345000
0.00048000,-17.02448000
0.00052800,-55.33341000
0.00057600,-42.56889000
0.00062400,-46.82886000
0.00067200,-55.33341000
0.00072000,-34.04897000
0.00076800,-38.30893000
0.00081600,-59.59338000
0.00086400,-46.82886000
0.00091200,-46.82886000
0.00096000,-46.82886000
0.00100800,-51.07345000
0.00105600,-38.30893000
0.00110400,-51.07345000
0.00115200,-34.04897000
0.00120000,-51.07345000
0.00124800,-46.82886000
0.00129600,-46.82886000
0.00134400,-55.33341000
0.00139200,-38.30893000
0.00144000,-42.56889000
0.00148800,-38.30893000
0.00153600,-38.30893000
0.00158400,-51.07345000
0.00163200,-38.30893000
0.00168000,-46.82886000
0.00172800,-42.56889000
0.00177600,-42.56889000
0.00182400,-42.56889000
0.00187200,-42.56889000
0.00192000,-42.56889000
0.00196800,-46.82886000
0.00201600,-34.04897000
0.00206400,-42.56889000
0.00211200,-38.30893000
0.00216000,-38.30893000
0.00220800,-55.33341000
0.00225600,-51.07345000
0.00230400,-29.78900000
0.00235200,-42.56889000
0.00240000,-34.04897000
0.00244800,-4.24458600
0.00249600,-51.07345000
0.00254400,-21.28445000
0.00259200,-34.04897000
0.00264000,-42.56889000
0.00268800,-38.30893000
0.00273600,-42.56889000
0.00278400,-34.04897000
0.00283200,-34.04897000
0.00288000,-38.30893000
0.00292800,-34.04897000
0.00297600,-34.04897000
0.00302400,-34.04897000
0.00307200,-38.30893000
0.00312000,-38.30893000
0.00316800,-34.04897000
0.00321600,-34.04897000
0.00326400,-34.04897000
0.00331200,-34.04897000
0.00336000,-29.78900000
0.00340800,-34.04897000
0.00345600,-29.78900000
0.00350400,-25.52903000
0.00355200,-25.52903000
0.00360000,-29.78900000
0.00364800,-29.78900000
0.00369600,-29.78900000
