index, length, toaCalc, a, b, pitch
1, 1292,   8.88e-06,  6.59e-03,  6.85e-03,    43.892
324, 1292,   8.99e-06,  6.67e-03,  6.77e-03,    44.574
647, 1292,   9.25e-06,  6.86e-03,  6.57e-03,    46.260
969, 1292,   7.73e-06,  5.73e-03,  7.57e-03,    37.133
1292, 1292,  -3.68e-05, -2.73e-02,  0.00e+00,     0.000
1615, 1292,   9.11e-06,  6.76e-03,  6.68e-03,    45.360
1938, 1292,   8.67e-06,  6.44e-03,  6.99e-03,    42.642
2261, 1292,  -3.67e-05, -2.72e-02,  0.00e+00,     0.000
2584, 1292,   9.33e-06,  6.92e-03,  6.51e-03,    46.764
2906, 1292,   9.35e-06,  6.94e-03,  6.49e-03,    46.938
3229, 1292,   8.34e-06,  6.19e-03,  7.21e-03,    40.628
3552, 1292,   8.92e-06,  6.62e-03,  6.82e-03,    44.133
3875, 1292,   9.01e-06,  6.69e-03,  6.75e-03,    44.754
4198, 1292,   7.35e-06,  5.46e-03,  7.78e-03,    35.052
4521, 1292,  -3.74e-05, -2.78e-02,  0.00e+00,     0.000
4843, 1292,   8.40e-06,  6.24e-03,  7.17e-03,    41.024
5166, 1292,   7.76e-06,  5.76e-03,  7.55e-03,    37.332
5489, 1292,  -3.77e-05, -2.79e-02,  0.00e+00,     0.000
5812, 1292,   7.94e-06,  5.89e-03,  7.45e-03,    38.312
6135, 1292,   7.40e-06,  5.49e-03,  7.75e-03,    35.290
6458, 1292,   6.39e-06,  4.74e-03,  8.23e-03,    29.930
6780, 1292,   7.47e-06,  5.54e-03,  7.72e-03,    35.695
7103, 1292,   7.40e-06,  5.49e-03,  7.75e-03,    35.309
7426, 1292,   6.81e-06,  5.05e-03,  8.04e-03,    32.142
7749, 1292,  -3.81e-05, -2.83e-02,  0.00e+00,     0.000
8072, 1292,   7.22e-06,  5.36e-03,  7.84e-03,    34.347
8395, 1292,   7.17e-06,  5.32e-03,  7.87e-03,    34.078
8717, 1292,   6.88e-06,  5.11e-03,  8.01e-03,    32.530
9040, 1292,   7.33e-06,  5.44e-03,  7.79e-03,    34.905
9363, 1292,   7.40e-06,  5.49e-03,  7.75e-03,    35.311
9686, 1292,   5.95e-06,  4.41e-03,  8.41e-03,    27.681
10009, 1292,  -3.85e-05, -2.85e-02,  0.00e+00,     0.000
10332, 1292,   7.10e-06,  5.27e-03,  7.90e-03,    33.695
10654, 1292,   6.33e-06,  4.70e-03,  8.26e-03,    29.640
