index, length, toaCalc, a, b, yaw
1, 1292,   2.71e-06,  2.01e-03,   9.29e-03,   -12.206
324, 1292,   3.89e-06,  2.89e-03,   9.05e-03,   -17.696
647, 1292,   3.43e-06,  2.54e-03,   9.15e-03,   -15.522
969, 1292,   2.29e-06,  1.70e-03,   9.35e-03,   -10.294
1292, 1292,   2.47e-06,  1.83e-03,   9.32e-03,   -11.119
1615, 1292,   3.04e-06,  2.25e-03,   9.23e-03,   -13.728
1938, 1292,   1.35e-06,  1.00e-03,   9.45e-03,    -6.056
2261, 1292,   1.81e-06,  1.34e-03,   9.40e-03,    -8.127
2584, 1292,   3.07e-06,  2.28e-03,   9.22e-03,   -13.894
2906, 1292,   1.76e-06,  1.30e-03,   9.41e-03,    -7.888
3229, 1292,   2.62e-06,  1.94e-03,   9.30e-03,   -11.794
3552, 1292,   4.00e-06,  2.96e-03,   9.03e-03,   -18.185
3875, 1292,   3.42e-06,  2.54e-03,   9.15e-03,   -15.504
4198, 1292,   3.15e-06,  2.33e-03,   9.21e-03,   -14.224
4521, 1292,   3.24e-06,  2.40e-03,   9.19e-03,   -14.651
4843, 1292,   3.16e-06,  2.34e-03,   9.21e-03,   -14.268
5166, 1292,   1.22e-06,  9.05e-04,   9.46e-03,    -5.467
5489, 1292,   2.35e-06,  1.75e-03,   9.34e-03,   -10.595
5812, 1292,   2.93e-06,  2.18e-03,   9.25e-03,   -13.237
6135, 1292,   1.40e-06,  1.04e-03,   9.44e-03,    -6.277
6458, 1292,  -4.22e-05, -3.13e-02,  0.00e+00,     0.000
6780, 1292,   4.12e-06,  3.06e-03,   9.00e-03,   -18.760
7103, 1292,   1.92e-06,  1.43e-03,   9.39e-03,    -8.639
7426, 1292,   1.82e-06,  1.35e-03,   9.40e-03,    -8.169
7749, 1292,   3.05e-06,  2.26e-03,   9.23e-03,   -13.782
8072, 1292,   2.61e-06,  1.94e-03,   9.30e-03,   -11.759
8395, 1292,   8.36e-07,  6.20e-04,   9.48e-03,    -3.744
8717, 1292,   2.58e-06,  1.91e-03,   9.31e-03,   -11.610
9040, 1292,   2.90e-06,  2.15e-03,   9.25e-03,   -13.079
9363, 1292,   3.15e-07,  2.34e-04,   9.50e-03,    -1.409
9686, 1292,   1.97e-06,  1.47e-03,   9.39e-03,    -8.872
10009, 1292,   2.44e-06,  1.81e-03,   9.33e-03,   -10.993
10332, 1292,   1.32e-06,  9.81e-04,   9.45e-03,    -5.925
10654, 1292,   9.76e-07,  7.25e-04,   9.47e-03,    -4.374
